date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:07	740202/740202	---M-Z	200	added ('OK')	text/html	etag:%227e9f4ebf407de3a5500ada613b97331f%22	https://harmone.framer.ai/	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/index.html	(from )
12:02:07	95/95	---M-Z	200	added ('OK')	text/plain	etag:%228cd93d913e3169554cf9bb30ec53a9d3%22	https://harmone.framer.ai/robots.txt		(from )
12:02:08	2574/2574	---MC-	200	added ('OK')	image/png	etag:%2210034a14dac875311f1445254a1dbec5%22	https://framerusercontent.com/images/3YzIbCAbCOOE4LA7MPKx98FaQA.png	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/3YzIbCAbCOOE4LA7MPKx98FaQA.png	(from https://harmone.framer.ai/)
12:02:08	549198/549198	---MC-	200	added ('OK')	image/png	etag:%227a0974f796329054c0470c3624577f2a%22	https://framerusercontent.com/images/qhyzVAubhAUYTnJsdG1DWHlXY.png	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/qhyzVAubhAUYTnJsdG1DWHlXY.png	(from https://harmone.framer.ai/)
12:02:09	468727/468727	---M-Z	200	added ('OK')	text/html	etag:%229c7580af7bea5db33b5e3947f834b294%22	https://harmone.framer.ai/about	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/about.html	(from https://harmone.framer.ai/)
12:02:09	380746/380746	---M-Z	200	added ('OK')	text/html	etag:%22c925c14d6a42a98c21f7a8471b60bbbc%22	https://harmone.framer.ai/contact	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/contact.html	(from https://harmone.framer.ai/)
12:02:09	338056/338056	---M-Z	200	added ('OK')	text/html	etag:%22b7d7a7bfdc9a02307ce1889a5562385b%22	https://harmone.framer.ai/services	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/services.html	(from https://harmone.framer.ai/)
12:02:10	62526/62526	---MC-	200	added ('OK')	image/png	etag:%22044099473bcbc034ab957affd8677ece%22	https://framerusercontent.com/images/evPzpyb4SBKWV4lLgrv1hDSt4k.png?width=567&height=512	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/evPzpyb4SBKWV4lLgrv1hDSt4ka587.png	(from https://harmone.framer.ai/)
12:02:10	71491/71491	---MC-	200	added ('OK')	image/png	etag:%2222506c1f9b6905faa26c160a5958b37a%22	https://framerusercontent.com/images/ehsATp65Vbu8RpInvTuQxjq8.png?width=512&height=512	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/ehsATp65Vbu8RpInvTuQxjq820cf.png	(from https://harmone.framer.ai/)
12:02:10	84063/84063	---MC-	200	added ('OK')	image/png	etag:%229194f68965f5a4baacac127deacf1519%22	https://framerusercontent.com/images/dU5Ry72Hw0Tfw6uVsqXOGtzGdVc.png?width=512&height=512	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/dU5Ry72Hw0Tfw6uVsqXOGtzGdVc20cf.png	(from https://harmone.framer.ai/)
12:02:10	101885/101885	---MC-	200	added ('OK')	image/png	etag:%22edcfd86a48da0dd833a7fba0b3207f61%22	https://framerusercontent.com/images/G40H0bmLFETcNa70efp5uBqU.png?width=512&height=512	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/G40H0bmLFETcNa70efp5uBqU20cf.png	(from https://harmone.framer.ai/)
12:02:11	8579/8579	---MC-	200	added ('OK')	image/png	etag:%22fb8b8dd0bfc2d1d43ac2883b831c4ab3%22	https://framerusercontent.com/images/FIjOK9TveAccH7BsKNycY0Te5us.png?width=124&height=124	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/FIjOK9TveAccH7BsKNycY0Te5usc4af.png	(from https://harmone.framer.ai/)
12:02:11	2576/2576	---MC-	200	added ('OK')	image/png	etag:%22fe4a72acd14c074569ec7cfc93988125%22	https://framerusercontent.com/images/YEEzotC7dPxXBHtE5i6xujD0GQ.png?width=512&height=512	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/YEEzotC7dPxXBHtE5i6xujD0GQ20cf.png	(from https://harmone.framer.ai/)
12:02:11	1192067/1192067	---MC-	200	added ('OK')	image/png	etag:%22b40cdebad7087146b056e1c23cd8d779%22	https://framerusercontent.com/images/gkENYZk3WmbSpOBar2w2fmNHNc.png?width=1362&height=1800	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/gkENYZk3WmbSpOBar2w2fmNHNcb896.png	(from https://harmone.framer.ai/)
12:02:13	388344/388344	---M-Z	200	added ('OK')	text/html	etag:%227fae0196bed02786cb1c6cd256fdb421%22	https://harmone.framer.ai/services/lawn-care-services	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/services/lawn-care-services.html	(from https://harmone.framer.ai/)
12:02:13	388288/388288	---M-Z	200	added ('OK')	text/html	etag:%22c636913296b86f5ee96b7b2272ace202%22	https://harmone.framer.ai/services/garden-design-solutions	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/services/garden-design-solutions.html	(from https://harmone.framer.ai/)
12:02:14	388255/388255	---M-Z	200	added ('OK')	text/html	etag:%22d84f2bab2990fea62bb646ffa3849f7d%22	https://harmone.framer.ai/services/topiary-tree-shaping	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/services/topiary-tree-shaping.html	(from https://harmone.framer.ai/)
12:02:15	388167/388167	---M-Z	200	added ('OK')	text/html	etag:%229fc01030716d2c51dbd41a92f25c9c14%22	https://harmone.framer.ai/services/landscape-maintenance	C:/My%20Web%20Sites/Lwancare%201/harmone.framer.ai/services/landscape-maintenance.html	(from https://harmone.framer.ai/)
12:02:15	23067/23067	---MC-	200	added ('OK')	image/png	etag:%22ab7818f0d0ad93200b9127fe52166575%22	https://framerusercontent.com/images/HjFE0k09aumATbaplUA1vVO2ZY.png?width=685&height=844	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/HjFE0k09aumATbaplUA1vVO2ZYa09e.png	(from https://harmone.framer.ai/)
12:02:15	735286/735286	---MC-	200	added ('OK')	image/png	etag:%22db153b29430c48f1e7c7d2bc1f8e744d%22	https://framerusercontent.com/images/3yzXropwbfT5HWMl9PCUldjTx0.png?width=1608&height=900	C:/My%20Web%20Sites/Lwancare%201/framerusercontent.com/images/3yzXropwbfT5HWMl9PCUldjTx0822d.png	(from https://harmone.framer.ai/)
